Area Name,Area Type,Year,Month,Date_Numeric,Seasonally Adjusted(Y/N),Status,Labor Force,Employment,Unemployment,Unemployment Rate,Benchmark
Danville town,Sub-County Place,2022,November,11/2022,N,Final,20300,19700,600,3.0,2023
Wilkerson CDP,Sub-County Place,2012,November,11/2012,N,Final,300,270,30,8.7,2023
Foothill Farms CDP,Sub-County Place,2011,April,04/2011,N,Final,14700,12500,2100,14.5,2023
San Rafael MD,Metropolitan Area,1998,April,04/1998,N,Final,131900,129000,2900,2.2,2021
Tara Hills CDP,Sub-County Place,2016,December,12/2016,N,Final,2700,2600,100,2.5,2023
Covina city,Sub-County Place,2012,April,04/2012,N,Final,24000,21000,3000,12.6,2023
Los Alamos CDP,Sub-County Place,2012,May,05/2012,N,Final,700,600,0,0.9,2023
Benicia city,Sub-County Place,2017,May,05/2017,N,Final,14800,14300,500,3.6,2023
Three Rivers CDP,Sub-County Place,2023,April,04/2023,N,Final,1300,1300,100,5.0,2023
Linda CDP,Sub-County Place,2017,March,03/2017,N,Final,8100,7000,1000,12.9,2023
Interlaken CDP,Sub-County Place,2024,March,03/2024,N,Final,3600,3400,200,5.5,2023
Kelseyville CDP,Sub-County Place,2010,January,01/2010,N,Final,1720,1300,420,24.7,2023
Anaheim-Santa Ana-Irvine MD,Metropolitan Area,2002,June,06/2002,N,Final,1519800,1438800,81000,5.3,2021
Arvin city,Sub-County Place,2019,January,01/2019,N,Final,8000,7100,900,11.8,2023
Hamilton City CDP,Sub-County Place,2015,April,04/2015,N,Final,1120,1010,110,10.1,2023
Lost Hills CDP,Sub-County Place,2024,July,07/2024,N,Final,700,700,0,5.1,2023
Auburn city,Sub-County Place,2019,August,08/2019,N,Final,6200,6000,200,2.9,2023
Biola CDP,Sub-County Place,2024,April,04/2024,N,Final,800,600,200,19.8,2023
Tuolumne City CDP,Sub-County Place,2014,August,08/2014,N,Final,520,520,0,0.0,2023
San Juan Capistrano city,Sub-County Place,2018,December,12/2018,N,Final,17300,16800,500,2.7,2023
Bakersfield city,Sub-County Place,2023,July,07/2023,N,Final,178100,167200,10900,6.1,2023
Sanger city,Sub-County Place,2014,November,11/2014,N,Final,11300,9900,1400,12.3,2023
Corcoran city,Sub-County Place,2018,December,12/2018,N,Final,4400,3800,600,14.3,2023
Marina del Rey CDP,Sub-County Place,2012,September,09/2012,N,Final,6700,6200,500,7.3,2023
Clovis city,Sub-County Place,2015,February,02/2015,N,Final,51100,46300,4700,9.3,2023
Graeagle CDP,Sub-County Place,2020,February,02/2020,N,Final,160,160,0,0.0,2023
La Verne city,Sub-County Place,2016,May,05/2016,N,Final,15700,15000,700,4.5,2023
Moorpark city,Sub-County Place,2010,January,01/2010,N,Final,18800,17100,1700,9.2,2023
San Bernardino County,County,2008,June,06/2008,N,Final,864700,795200,69500,8.0,2023
Amador County,County,2017,August,08/2017,N,Final,14840,14110,730,4.9,2023
Los Angeles County,County,2021,July,07/2021,N,Final,5051000,4569300,481700,9.5,2023
San Miguel CDP,Sub-County Place,2017,October,10/2017,N,Final,1500,1400,100,5.3,2023
Turlock city,Sub-County Place,2022,April,04/2022,N,Final,32900,31600,1300,3.8,2023
Corralitos CDP,Sub-County Place,2020,January,01/2020,N,Final,1300,1100,200,14.1,2023
Bakersfield city,Sub-County Place,2020,December,12/2020,N,Final,176000,159100,16900,9.6,2023
Porterville city,Sub-County Place,2014,September,09/2014,N,Final,22800,20100,2700,11.8,2023
